Date,Symbol,Action,Price,Size
2020-04-30,AAPL,Buy,73.44999694824219,0
2020-07-27,AAPL,Sell,94.80999755859375,136.0
2020-12-15,AAPL,Buy,127.87999725341797,0.0
2021-02-23,AAPL,Sell,125.86000061035156,78.0
2021-05-03,AAPL,Buy,132.5399932861328,0.0
2021-05-25,AAPL,Sell,126.9000015258789,75.0
2021-06-28,AAPL,Buy,134.77999877929688,0.0
2021-08-18,AAPL,Sell,146.36000061035156,74.0
2021-11-12,AAPL,Buy,149.99000549316406,0.0
2022-01-21,AAPL,Sell,162.41000366210938,66.0
2022-04-13,AAPL,Buy,170.39999389648438,0.0
2022-05-05,AAPL,Sell,156.77000427246094,58.0
2022-08-05,AAPL,Buy,165.35000610351562,0.0
2022-09-20,AAPL,Sell,156.89999389648438,60.0
2020-03-20,AAPL,Sell Short,57.310001373291016,0
2020-04-27,AAPL,Buy to Cover,70.7925033569336,0
2020-10-08,AAPL,Sell Short,114.97000122070312,0
2020-11-04,AAPL,Buy to Cover,114.94999694824219,0
2020-11-18,AAPL,Sell Short,118.02999877929688,0
2020-12-08,AAPL,Buy to Cover,124.37999725341797,0
2021-02-25,AAPL,Sell Short,120.98999786376953,80.0
2021-04-22,AAPL,Buy to Cover,131.94000244140625,0.0
2021-05-27,AAPL,Sell Short,125.27999877929688,0.0
2021-06-24,AAPL,Buy to Cover,133.41000366210938,0.0
2021-10-08,AAPL,Sell Short,142.89999389648438,0.0
2021-11-09,AAPL,Buy to Cover,150.80999755859375,0.0
2022-02-03,AAPL,Sell Short,172.89999389648438,0.0
2022-04-11,AAPL,Buy to Cover,165.75,0.0
2022-05-09,AAPL,Sell Short,152.05999755859375,0.0
2022-06-24,AAPL,Buy to Cover,141.66000366210938,0.0
2022-07-18,AAPL,Sell Short,147.07000732421875,0.0
2022-07-20,AAPL,Buy to Cover,153.0399932861328,0.0
2022-09-23,AAPL,Sell Short,150.42999267578125,0.0
2020-05-04,TSLA,Buy,50.74599838256836,0
2020-07-29,TSLA,Sell,99.94066619873047,0
2020-11-03,TSLA,Buy,141.3000030517578,0
2020-11-10,TSLA,Sell,136.7866668701172,0
2020-12-07,TSLA,Buy,213.9199981689453,0
2021-02-04,TSLA,Sell,283.3299865722656,46.0
2021-07-19,TSLA,Buy,215.4066619873047,0.0
2021-11-16,TSLA,Sell,351.57666015625,46.0
2022-01-31,TSLA,Buy,312.239990234375,0.0
2022-02-01,TSLA,Sell,310.4166564941406,32.0
2022-04-13,TSLA,Buy,340.7900085449219,0.0
2022-05-10,TSLA,Sell,266.67999267578125,29.0
